"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA",2013-05-02,1,61.35,69,61,8,53.08,67.48,59.66,4,5,-1,44.44,3.91,4.89,5.94,4.22,1.72,58.47,5.81,4.13,6,5,-1,12.5,84.38,96.88
"ANA",2013-05-04,1,60,43,48,-5,47.25,43,48,4,0,4,100,4,0,3.16,2.01,1.15,61.15,3.16,2.01,7,7,0,13.79,100,113.79
"ANA",2013-05-06,1,75.17,52,89,-37,36.88,41.51,71.04,2,3,-1,40,1.6,2.39,3.39,3.44,-0.05,49.6,2.7,2.75,1,3,2,6.06,93.88,99.94
"ANA",2013-05-08,1,61.9,63,68,-5,48.09,61.07,65.91,3,2,1,60,2.91,1.94,3.61,2.59,1.02,58.19,3.5,2.51,4,4,0,8.82,93.55,102.37
"ANA",2013-05-10,1,61.07,61,63,-2,49.19,59.93,61.9,3,4,-1,42.86,2.95,3.93,2.97,2.58,0.39,53.51,2.92,2.53,3,0,-3,8.11,86.21,94.32
"ANA",2013-05-12,1,60,59,58,1,50.43,59,58,2,3,-1,40,2,3,2.5,2.8,-0.3,47.15,2.5,2.8,3,5,2,6.06,90.62,96.69
"ANA",2013-10-02,1,60,59,50,9,54.13,59,50,1,6,-5,14.29,1,6,2.14,2.43,-0.29,46.82,2.14,2.43,8,8,0,2.78,79.31,82.09
"ANA",2013-10-05,1,64.92,43,66,-23,39.45,39.74,61,4,3,1,57.14,3.7,2.77,2.17,3.52,-1.34,38.21,2.01,3.25,5,4,-1,13.33,90.91,104.24
"ANA",2013-10-06,1,60,61,44,17,58.1,61,44,3,2,1,60,3,2,3.19,1.49,1.71,68.23,3.19,1.49,3,4,1,8.82,88.24,97.06
"ANA",2013-10-10,1,60,57,53,4,51.82,57,53,6,0,6,100,6,0,3.07,2.99,0.08,50.65,3.07,2.99,5,10,5,16.22,100,116.22
"ANA",2013-10-13,1,60,88,65,23,57.52,88,65,4,1,3,80,4,1,6.89,3.27,3.62,67.83,6.89,3.27,1,6,5,7.14,96.77,103.92
