Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close
129,17,V,Columbus ,0,1,1,2,5.5u35,5.5u40
129,18,H,Minnesota ,2,0,1,3,-171,-200
129,19,V,Anaheim ,0,2,0,2,5.5u09,5.5u15
129,20,H,San Jose ,1,0,1,3,-166,-165
130,51,V,Montreal ,1,0,0,1,5.5u15,5.5u20
130,52,H,Ottawa ,1,3,1,5,-150,-150
130,53,V,Chicago ,2,0,0,2,-115,-135
130,54,H,Minnesota ,1,1,0,3,5.5u15,5.5u35
130,55,V,Edmonton ,1,0,0,2,5.5u15,5.5u20
130,56,H,Phoenix ,0,0,1,1,-120,-130
130,57,V,Colorado ,0,0,0,0,5.5u25,5.5u40
130,58,H,Vancouver ,1,1,1,3,-160,-180
131,1,V,Pittsburgh ,1,0,2,3,5.5u15,5.5u45
131,2,H,NY Rangers ,0,0,0,0,-125,-120
131,3,V,Buffalo ,0,3,4,7,5.5u25,5.5u35
131,4,H,Boston ,0,3,1,4,-177,-175
131,5,V,NY Islanders ,1,2,1,5,5.5u50,5.5u50
131,6,H,New Jersey ,0,3,1,4,-165,-140
131,7,V,St. Louis ,3,0,1,4,-170,-180
131,8,H,Columbus ,0,1,0,1,5o40,5o40
131,9,V,Washington ,1,1,0,2,5.5u15,-110
131,10,H,Toronto ,1,0,2,3,-120,5.5o15
131,11,V,Winnipeg ,0,1,2,3,-115,-110
131,12,H,Florida ,0,1,5,6,5.5u09,5.5u25
131,13,V,Colorado ,1,2,3,6,5.5u15,5.5u45
131,14,H,Calgary ,1,2,0,3,-140,-175
131,15,V,Edmonton ,0,1,1,2,5.5u09,5.5u20
131,16,H,San Jose ,0,2,0,3,-193,-200
131,17,V,Nashville ,1,0,0,2,5,5u20
131,18,H,Los Angeles ,1,0,0,1,-155,-155
201,51,V,Ottawa ,0,0,0,0,5.5u15,5.5u15
201,52,H,Carolina ,1,0,0,1,-121,-125
201,53,V,Philadelphia ,0,1,1,2,5.5u09,-120
201,54,H,Washington ,0,1,2,3,-116,5.5u15
201,55,V,St. Louis ,2,1,0,3,5.5u30,-110
201,56,H,Detroit ,2,0,3,5,-109,5.5u45
201,57,V,Winnipeg ,0,0,3,3,6u09,6
201,58,H,Tampa Bay ,3,3,2,8,-155,-200
201,59,V,Phoenix ,1,2,0,3,5o35,5o35
201,60,H,Dallas ,2,1,0,4,-128,-120
201,61,V,Minnesota ,1,0,0,1,5.5u35,5.5u40
201,62,H,Anaheim ,0,1,2,3,-123,-125
201,63,V,Chicago ,0,0,1,1,5.5u09,5.5u35
201,64,H,Vancouver ,1,0,0,2,-115,-130
202,1,V,New Jersey ,0,1,0,1,5.5u30,5.5u35
202,2,H,Pittsburgh ,0,2,3,5,-160,-155
202,3,V,Buffalo ,0,0,1,1,5.5u35,5.5u50
202,4,H,Montreal ,1,3,2,6,-128,-135
202,5,V,Edmonton ,1,0,0,1,5.5u15,5.5u50
202,6,H,Colorado ,0,2,1,3,-118,-130
202,7,V,Boston ,1,0,0,1,-125,-150
202,8,H,Toronto ,0,0,0,0,5.5u15,5.5u20
202,9,V,Detroit ,1,0,1,2,-128,-135
202,10,H,Columbus ,1,2,1,4,5.5u20,5.5u30
202,11,V,NY Rangers ,0,1,2,3,5.5o04,5.5o20
202,12,H,Tampa Bay ,0,1,1,2,-119,-125
202,13,V,Carolina ,2,0,1,3,5.5o04,5.5
202,14,H,Philadelphia ,3,2,0,5,-149,-130
202,15,V,Dallas ,0,0,0,0,5o30,5o40
202,16,H,Phoenix ,0,1,1,2,-135,-155
202,17,V,Chicago ,0,0,2,3,-120,-115
202,18,H,Calgary ,0,0,2,2,5.5o04,5.5
202,19,V,Los Angeles ,2,2,0,4,-109,-115
202,20,H,Anaheim ,3,2,2,7,5o15,5o20
202,21,V,Nashville ,0,0,1,2,5o25,5o20
202,22,H,San Jose ,0,0,1,1,-155,-180
203,51,V,Pittsburgh ,2,3,1,6,-120,-135
203,52,H,Washington ,1,1,1,3,5.5u25,5.5u20
203,53,V,Ottawa ,1,0,0,1,5.5u25,5.5u50
203,54,H,Montreal ,2,0,0,2,-120,-130
203,55,V,Florida ,1,2,1,4,5.5u25,5.5u35
203,56,H,Buffalo ,2,1,0,3,-155,-145
203,57,V,New Jersey ,0,0,3,3,5.5u35,5.5u40
203,58,H,NY Islanders ,0,0,0,0,-115,-125
204,1,V,Carolina ,0,2,2,4,5.5o04,5.5
204,2,H,Toronto ,1,0,0,1,-110,-120
204,3,V,Dallas ,2,1,0,3,5o20,5o20
204,4,H,Colorado ,1,1,0,2,-135,-130
204,5,V,Minnesota ,0,1,0,1,5o15,5o25
204,6,H,Phoenix ,1,1,0,2,-120,-135
204,7,V,Vancouver ,0,1,1,3,-115,-130
204,8,H,Edmonton ,1,1,0,2,5.5u25,5.5u45
204,9,V,San Jose ,1,0,0,1,5.5u15,-110
204,10,H,Anaheim ,0,0,2,2,-105,5.5u25
205,51,V,Pittsburgh ,1,1,2,4,-133,-145
205,52,H,NY Islanders ,0,0,2,2,5.5o25,5.5o30
205,53,V,NY Rangers ,0,0,1,1,-104,-110
205,54,H,New Jersey ,2,0,1,3,5u15,5u15
205,55,V,Los Angeles ,0,3,1,4,-123,-155
205,56,H,Columbus ,1,1,0,2,5.5u30,5.5u40
205,57,V,Toronto ,2,1,0,3,5.5o04,5.5
205,58,H,Washington ,1,0,1,2,-145,-155
205,59,V,Tampa Bay ,0,0,1,1,6u15,6u15
205,60,H,Philadelphia ,0,1,1,2,-113,-120
205,61,V,Buffalo ,1,1,1,3,-140,5.5u30
205,62,H,Ottawa ,3,1,0,4,5.5u25,-145
205,63,V,Calgary ,2,1,1,4,5.5u20,5.5u30
205,64,H,Detroit ,0,1,0,1,-163,-150
205,65,V,Florida ,1,1,0,2,5.5u09,5.5u15
205,66,H,Winnipeg ,0,2,0,3,-148,-135
205,67,V,Nashville ,3,2,1,6,5u15,5u30
205,68,H,St. Louis ,0,1,0,1,-165,-200
205,69,V,Chicago ,3,1,1,5,5.5u25,-110
205,70,H,San Jose ,3,0,0,3,-130,5.5u35
206,1,V,Boston ,0,0,2,2,-109,-110
206,2,H,Montreal ,0,1,0,1,5o20,5o30
206,3,V,Anaheim ,2,1,0,3,5o20,-130
206,4,H,Colorado ,0,0,0,0,-120,5o50
206,5,V,Dallas ,0,2,0,3,5o20,5o35
206,6,H,Edmonton ,0,1,1,2,-120,-120
207,51,V,Calgary ,1,1,1,4,5.5u15,-115
207,52,H,Columbus ,2,0,1,3,-109,5.5u25
207,53,V,NY Islanders ,0,1,0,1,5.5u30,5.5u50
207,54,H,NY Rangers ,2,1,1,4,-160,-160
207,55,V,Montreal ,1,2,1,4,5.5u30,5.5u30
207,56,H,Buffalo ,1,1,2,5,-125,-140
207,57,V,Washington ,1,0,1,2,5.5o15,5.5o25
207,58,H,Pittsburgh ,0,5,0,5,-195,-200
207,59,V,Tampa Bay ,0,1,1,2,5.5u15,5.5u25
207,60,H,New Jersey ,0,2,2,4,-125,-130
207,61,V,Florida ,1,0,1,3,5.5u15,5.5u40
207,62,H,Philadelphia ,1,1,0,2,-158,-145
207,63,V,Carolina ,0,1,1,3,5.5u20,5.5u15
207,64,H,Ottawa ,1,1,0,2,-128,-125
207,65,V,Toronto ,0,1,2,3,5.5o15,5.5o20
207,66,H,Winnipeg ,0,1,1,2,-150,-135
207,67,V,Los Angeles ,0,0,0,0,5u25,-115
207,68,H,Nashville ,1,2,0,3,-125,5u30
207,69,V,Detroit ,2,2,1,5,5.5u20,5.5u45
207,70,H,St. Louis ,0,1,0,1,-165,-190
207,71,V,Vancouver ,2,2,0,4,-104,-120
207,72,H,Minnesota ,0,0,1,1,5o15,5
207,73,V,Chicago ,4,2,0,6,-109,-110
207,74,H,Phoenix ,0,1,1,2,5o35,5o50
208,1,V,Anaheim ,0,1,0,1,-104,-120
208,2,H,Dallas ,2,0,1,3,5o20,5o40
209,51,V,Pittsburgh ,1,0,0,1,-115,-110
209,52,H,New Jersey ,0,1,2,3,5.5u25,5.5u40
209,53,V,Carolina ,1,1,1,3,5.5u15,5.5u25
209,54,H,Philadelphia ,1,2,0,4,-130,-130
209,57,V,Winnipeg ,0,0,1,1,5.5o15,5.5o25
209,58,H,Ottawa ,0,0,0,0,-140,-165
209,59,V,Edmonton ,0,1,0,1,5.5u25,5.5u30
209,60,H,Detroit ,0,1,1,2,-160,-170
209,61,V,Phoenix ,0,0,0,1,5.5u25,5.5u45
209,62,H,San Jose ,0,0,0,0,-170,-160
209,63,V,Florida ,0,0,0,0,5.5u20,5.5u35
209,64,H,Washington ,1,2,2,5,-120,-130
209,65,V,Buffalo ,1,1,1,3,5.5o20,5.5o25
209,66,H,NY Islanders ,1,1,0,2,-115,-120
209,67,V,Toronto ,2,2,2,6,5o35,5o50
209,68,H,Montreal ,0,0,0,0,-155,-170
209,69,V,Anaheim ,1,3,1,6,5o30,5o40
209,70,H,St. Louis ,3,0,2,5,-170,-190
209,71,V,Nashville ,1,0,0,1,5u25,5u35
209,72,H,Minnesota ,0,1,0,2,-126,-130
209,73,V,Calgary ,1,0,0,1,5.5u20,5.5u30
209,74,H,Vancouver ,0,3,2,5,-193,-200
210,1,V,Los Angeles ,1,0,1,2,5o35,-110
210,2,H,Detroit ,2,0,1,3,-125,5o40
210,3,V,Edmonton ,1,0,2,3,-115,-115
210,4,H,Columbus ,0,0,1,1,5.5u25,5.5u35
210,5,V,Boston ,0,1,2,3,-130,-145
210,6,H,Buffalo ,0,1,0,1,5.5o04,5.5
210,7,V,New Jersey ,1,2,0,3,5o40,5o45
210,8,H,Pittsburgh ,0,0,1,1,-160,-165
210,9,V,Tampa Bay ,0,1,0,1,5.5u15,5.5u25
210,10,H,NY Rangers ,2,1,2,5,-145,-145
210,11,V,Chicago ,0,2,1,3,-125,-130
210,12,H,Nashville ,0,0,0,0,5o30,5o20
211,51,V,San Jose ,0,1,1,2,-155,-190
211,52,H,Columbus ,1,2,3,6,5.5u25,5.5u25
211,53,V,Carolina ,1,1,4,6,5.5o10,5.5o20
211,54,H,NY Islanders ,1,2,1,4,-110,-115
211,55,V,Philadelphia ,1,0,1,2,5.5u15,-115
211,56,H,Toronto ,1,3,1,5,-110,5.5u20
211,57,V,Los Angeles ,1,2,1,4,5u09,5
211,58,H,St. Louis ,0,1,0,1,-152,-165
211,59,V,Minnesota ,0,1,0,2,5o35,-110
211,60,H,Calgary ,0,0,1,1,-110,5o50
211,61,V,Phoenix ,1,0,1,3,5.5u35,-120
211,62,H,Colorado ,0,2,0,2,-110,5o30
212,1,V,Carolina ,0,2,2,4,5o20,5o40
212,2,H,New Jersey ,1,0,1,2,-148,-155
212,3,V,Buffalo ,0,0,0,0,5.5u09,5.5u30
212,4,H,Ottawa ,0,2,0,2,-132,-140
212,5,V,Montreal ,1,2,0,4,5.5u09,5.5u15
212,6,H,Tampa Bay ,0,0,3,3,-130,-135
212,7,V,NY Rangers ,1,1,1,4,5o04,5
212,8,H,Boston ,0,0,3,3,-135,-135
212,9,V,Washington ,1,2,2,6,5.5u20,5.5u35
212,10,H,Florida ,2,2,1,5,-125,-130
212,11,V,San Jose ,0,0,0,0,5u15,5u20
212,12,H,Nashville ,0,0,0,1,-114,-115
212,13,V,Philadelphia ,2,0,1,3,5.5o04,5.5
212,14,H,Winnipeg ,1,0,1,2,-120,-145
212,15,V,Anaheim ,0,1,1,3,5.5o04,5.5u15
212,16,H,Chicago ,0,2,0,2,-160,-160
212,17,V,Dallas ,0,1,3,4,5o15,5o20
212,18,H,Edmonton ,1,0,0,1,-120,-120
212,19,V,Minnesota ,0,1,0,1,5o04,5u15
212,20,H,Vancouver ,1,1,0,2,-178,-230
213,51,V,Ottawa ,0,2,0,2,5.5o04,5.5u15
213,52,H,Pittsburgh ,1,1,2,4,-180,-200
213,53,V,St. Louis ,1,2,0,4,5.5u20,5.5u40
213,54,H,Detroit ,2,1,0,3,-135,-120
213,55,V,Dallas ,1,2,1,4,5o40,5o55
213,56,H,Calgary ,4,2,1,7,-135,-150
214,1,V,NY Islanders ,0,3,0,4,5.5u30,5.5u30
214,2,H,NY Rangers ,2,1,0,3,-190,-160
214,3,V,Toronto ,0,1,0,1,5.5o09,5.5o30
214,4,H,Carolina ,0,3,0,3,-144,-140
214,5,V,Montreal ,0,0,0,1,-106,-125
214,6,H,Florida ,0,0,0,0,5o35,5o40
214,7,V,Washington ,1,1,2,4,5.5o35,5.5o35
214,8,H,Tampa Bay ,1,0,2,3,-145,-150
214,9,V,Phoenix ,0,0,0,0,5u30,5u45
214,10,H,Nashville ,0,0,3,3,-137,-120
214,11,V,Colorado ,0,2,1,4,5o04,5u15
214,12,H,Minnesota ,0,1,2,3,-145,-165
215,51,V,Boston ,1,1,0,2,-140,-135
215,52,H,Buffalo ,1,0,3,4,5.5u20,5.5u30
215,53,V,Pittsburgh ,1,0,2,3,-128,-155
215,54,H,Winnipeg ,0,0,1,1,5.5o20,5.5o25
215,55,V,Philadelphia ,3,0,0,3,5o35,5o45
215,56,H,New Jersey ,1,2,2,5,-145,-155
215,57,V,Anaheim ,0,2,3,5,5.5u15,5.5u50
215,58,H,Detroit ,0,2,0,2,-123,-115
215,59,V,San Jose ,0,1,0,1,5.5u15,5.5u20
215,60,H,Chicago ,1,2,1,4,-148,-135
215,61,V,St. Louis ,4,0,1,5,-115,-125
215,62,H,Calgary ,0,1,1,2,5.5u15,5.5u20
215,63,V,Dallas ,1,1,2,4,5o25,5o40
215,64,H,Vancouver ,0,3,0,3,-190,-200
215,65,V,Columbus ,0,0,1,1,5o25,5o50
215,66,H,Los Angeles ,0,1,1,2,-215,-175
216,1,V,Philadelphia ,0,1,0,1,5.5u25,5.5u15
216,2,H,Montreal ,1,1,2,4,-140,-155
216,3,V,New Jersey ,0,0,1,1,-122,-115
216,4,H,NY Islanders ,0,3,2,5,5o35,5o45
216,5,V,Ottawa ,0,0,0,0,5.5u15,5.5u40
216,6,H,Toronto ,1,0,2,3,-140,-140
216,7,V,Tampa Bay ,2,1,2,6,-107,-125
216,8,H,Florida ,1,2,2,5,5.5o15,5.5o20
216,9,V,Columbus ,2,1,0,3,5o30,5o50
216,10,H,Phoenix ,3,0,2,5,-180,-230
216,11,V,Anaheim ,1,1,0,3,5u15,5u25
216,12,H,Nashville ,1,1,0,2,-137,-145
216,13,V,Colorado ,3,1,0,4,5o40,5o45
216,14,H,Edmonton ,1,2,3,6,-140,-150
217,51,V,Pittsburgh ,2,0,2,4,-133,-135
217,52,H,Buffalo ,1,1,1,3,5.5o09,5.5o15
217,53,V,Boston ,0,2,1,3,-135,-155
217,54,H,Winnipeg ,0,2,0,2,5.5u07,5.5u30
217,55,V,Calgary ,1,0,3,4,5.5,5.5o20
217,56,H,Dallas ,0,3,0,3,-125,-130
217,57,V,Los Angeles ,0,0,2,2,5o30,5o40
217,58,H,Chicago ,2,1,0,3,-133,-160
217,59,V,Detroit ,1,1,0,2,5o40,5o35
217,60,H,Minnesota ,0,3,0,3,-130,-140
217,61,V,Washington ,1,0,0,1,5.5u30,5.5u40
217,62,H,NY Rangers ,0,1,1,2,-155,-180
217,63,V,St. Louis ,1,1,1,4,5.5u25,5.5u50
217,64,H,Vancouver ,2,0,1,3,-142,-145
218,1,V,Ottawa ,0,0,1,2,5o15,5u20
218,2,H,New Jersey ,1,0,0,1,-170,-220
218,3,V,Philadelphia ,1,3,3,7,5.5o04,5.5o25
218,4,H,NY Islanders ,0,0,0,0,-115,-115
218,5,V,Nashville ,1,3,1,5,-115,-135
218,6,H,Colorado ,2,4,0,6,5u20,5
218,7,V,Toronto ,1,2,0,3,-115,5.5u25
218,8,H,Florida ,0,0,0,0,5.5u15,-115
218,9,V,Carolina ,0,0,0,0,5.5u15,5.5u15
218,10,H,Montreal ,0,0,3,3,-116,-125
218,11,V,Calgary ,0,0,0,0,5.5u20,5.5
218,12,H,Phoenix ,1,0,3,4,-165,-170
218,13,V,Columbus ,1,0,1,2,5.5u25,5.5u30
218,14,H,Anaheim ,2,0,1,3,-200,-220
219,51,V,Winnipeg ,1,1,0,2,5.5o15,5.5o15
219,52,H,Buffalo ,0,1,0,1,-135,-145
219,53,V,Montreal ,0,1,2,3,5o15,5
219,54,H,NY Rangers ,0,1,0,1,-144,-160
219,55,V,Toronto ,1,0,1,2,6o09,6o15
219,56,H,Tampa Bay ,1,1,2,4,-146,-160
219,57,V,NY Islanders ,0,0,1,1,5.5u09,5.5u50
219,58,H,Ottawa ,0,2,1,3,-126,-130
219,59,V,Detroit ,1,0,2,3,5o04,5u20
219,60,H,Nashville ,2,0,1,4,-135,-120
219,61,V,San Jose ,0,1,1,2,5.5u20,5.5u45
219,62,H,St. Louis ,1,0,0,1,-156,-125
219,63,V,Vancouver ,1,0,2,3,5.5u25,5.5u50
219,64,H,Chicago ,0,3,0,4,-132,-125
219,65,V,Los Angeles ,0,1,2,3,-113,-125
219,66,H,Edmonton ,0,1,0,1,5o25,5o40
220,1,V,Philadelphia ,2,1,3,6,5.5o17,5.5o30
220,2,H,Pittsburgh ,2,0,3,5,-168,-190
220,3,V,Los Angeles ,2,0,1,3,-118,5.5u45
220,4,H,Calgary ,1,0,0,1,5.5u18,-120
220,5,V,St. Louis ,0,0,0,0,-120,-120
220,6,H,Colorado ,0,0,0,1,5.5u18,5.5u40
221,51,V,Winnipeg ,1,0,3,4,5.5u10,5.5u25
221,52,H,Carolina ,1,0,2,3,-150,-145
221,53,V,New Jersey ,0,1,2,3,-115,-120
221,54,H,Washington ,0,2,0,2,5o15,5o25
221,55,V,Buffalo ,1,0,0,1,5.5u20,5.5u35
221,56,H,Toronto ,0,2,1,3,-145,-120
221,57,V,Florida ,3,1,1,5,5.5u18,5.5u20
221,58,H,Philadelphia ,0,0,2,2,-147,-145
221,59,V,NY Rangers ,0,0,2,2,-120,-140
221,60,H,Ottawa ,1,0,1,3,5u15,5u30
221,61,V,NY Islanders ,0,2,1,4,5.5u25,5.5u40
221,62,H,Montreal ,2,1,0,3,-160,-150
221,63,V,Boston ,2,1,1,4,-115,-125
221,64,H,Tampa Bay ,1,1,0,2,5.5o17,5.5o25
221,65,V,Columbus ,1,0,2,3,5.5u13,5.5u15
221,66,H,Detroit ,2,0,0,2,-177,-175
