"Team","Date","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","xPDO","dPDO","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","PENT/60","PEND/60"
"ANA",2014-04-04,1,60,52,43,9,54.74,52,43,2,5,-3,28.57,2,5,2.8,2.11,0.69,56.98,2.8,2.11,4,3,-1,6.9,79.17,86.06,22,20,16,37.93,27.59,34.48,0.58,27,31,46.55,5,3,5,3,37,30,7,37,30,5.26,84.38,7.37,93.39,-2.11,-9.02,100.76,-14.7,38,32,6,54.29,38,32,29,24,5,54.72,29,24,4,3
"ANA",2014-04-06,1,60,75,47,28,61.48,75,47,2,4,-2,33.33,2,4,4.22,3.19,1.03,56.98,4.22,3.19,7,9,2,5.56,85.71,91.27,30,22,17,43.48,24.64,31.88,0.64,31,38,44.93,15,8,15,8,27,16,11,27,16,4,88.24,8.44,90.63,-4.44,-2.4,99.07,-7.8,50,34,16,59.52,50,34,36,28,8,56.25,36,28,7,9
"ANA",2014-04-07,1,60,40,61,-21,39.6,40,61,3,0,3,100,3,0,1.9,2.68,-0.78,41.48,1.9,2.68,5,3,-2,13.04,100,113.04,19,16,16,37.25,31.37,31.37,0.54,23,28,45.1,4,7,4,7,17,22,-5,17,22,10.34,100,6.56,93.12,3.79,6.88,99.68,13.36,29,39,-10,42.65,29,39,23,18,5,56.1,23,18,5,3
"ANA",2014-04-09,1,60,62,70,-8,46.97,62,70,5,2,3,71.43,5,2,2.64,4.06,-1.42,39.43,2.64,4.06,6,4,-2,16.67,94.74,111.4,23,25,19,34.33,28.36,37.31,0.55,34,33,50.75,9,3,9,3,33,25,8,33,25,10.64,96.49,5.63,92.87,5.01,3.62,98.5,12.9,47,57,-10,45.19,47,57,30,38,-8,44.12,30,38,6,4
"ANA",2014-04-12,1,65,49,63,-14,43.75,45.23,58.15,3,3,0,50,2.77,2.77,1.82,2.48,-0.66,42.3,1.68,2.29,4,4,0,12.5,90,102.5,19,19,26,29.69,40.62,29.69,0.42,35,29,54.69,9,2,8.31,1.85,21,35,-14,19.38,32.31,8.11,93.02,4.92,94.22,3.19,-1.2,99.14,3.36,37,43,-6,46.25,34.15,39.69,24,30,-6,44.44,22.15,27.69,3.69,3.69
"ANA",2014-04-13,1,61.55,69,57,12,54.76,67.26,55.56,3,2,1,60,2.92,1.95,3.54,2.61,0.94,57.62,3.46,2.54,1,2,1,8.33,93.55,101.88,19,14,29,30.65,46.77,22.58,0.4,32,30,51.61,10,3,9.75,2.92,16,24,-8,15.6,23.4,4.84,95.12,5.72,93.64,-0.88,1.48,99.36,2.52,62,41,21,60.19,60.44,39.97,36,31,5,53.73,35.09,30.22,0.97,1.95
"ANA",2014-10-09,1,60,49,60,-11,44.95,49,60,4,6,-2,40,4,6,3.75,3.28,0.47,53.36,3.75,3.28,5,8,3,13.79,84.62,98.41,19,27,26,26.39,36.11,37.5,0.42,34,38,47.22,5,5,5,5,33,34,-1,33,34,10,87.76,9.38,93.31,0.62,-5.55,102.69,-4.28,40,49,-9,44.94,40,49,29,39,-10,42.65,29,39,5,8
"ANA",2014-10-11,1,60,43,51,-8,45.74,43,51,3,2,1,60,3,2,1.55,2.3,-0.75,40.25,1.55,2.3,3,4,1,11.54,93.1,104.64,16,19,16,31.37,31.37,37.25,0.5,28,23,54.9,4,2,4,2,19,26,-7,19,26,10,94.29,5.16,93.43,4.84,0.85,98.59,6.05,30,35,-5,46.15,30,35,26,29,-3,47.27,26,29,3,4
"ANA",2014-10-13,1,60,75,35,40,68.18,75,35,5,1,4,83.33,5,1,4.08,0.74,3.34,84.58,4.08,0.74,5,9,4,11.36,91.67,103.03,33,23,10,50,15.15,34.85,0.77,45,21,68.18,3,1,3,1,21,17,4,21,17,8.33,94.44,6.8,95.87,1.53,-1.42,102.67,0.36,60,18,42,76.92,60,18,44,12,32,78.57,44,12,5,9
"ANA",2014-10-14,1,65,46,79,-33,36.8,42.46,72.92,3,3,0,50,2.77,2.77,2.43,3.88,-1.45,38.48,2.24,3.58,4,2,-2,10.71,92.86,103.57,20,19,21,33.33,35,31.67,0.49,30,30,50,9,4,8.31,3.69,43,30,13,39.69,27.69,8.82,94.64,7.15,93.07,1.68,1.58,100.21,3.36,34,56,-22,37.78,31.38,51.69,28,42,-14,40,25.85,38.77,3.69,1.85
